"",Symbol,Date,Year,Low,High,Open,Close,Volume
0,SRTRANSFIN,2019-07-29,2019,962.55,990.00,980.80,967.45,1417626
1,SRTRANSFIN,2019-07-30,2019,964.10,982.40,967.50,969.00,1468107
2,SRTRANSFIN,2019-07-31,2019,959.00,975.45,967.85,969.25,1528948
3,SRTRANSFIN,2019-08-01,2019,963.30,984.70,969.00,967.35,1274941
4,SRTRANSFIN,2019-08-02,2019,960.00,981.90,971.90,978.45,1315470
5,SRTRANSFIN,2019-08-05,2019,946.20,981.90,969.65,970.55,1716848
6,SRTRANSFIN,2019-08-06,2019,966.50,991.55,968.80,983.20,1139998
7,SRTRANSFIN,2019-08-07,2019,983.50,1008.00,983.50,997.85,1379243
8,SRTRANSFIN,2019-08-08,2019,992.55,1014.90,1000.00,1002.55,1048216
9,SRTRANSFIN,2019-08-09,2019,1008.40,1065.00,1009.95,1042.15,1567489
10,SRTRANSFIN,2019-08-13,2019,980.05,1048.85,1038.95,987.55,1073790
11,SRTRANSFIN,2019-08-14,2019,995.05,1053.95,999.00,1041.55,2186378
12,SRTRANSFIN,2019-08-16,2019,1019.70,1063.20,1040.00,1032.15,1104085
13,SRTRANSFIN,2019-08-19,2019,1029.35,1059.60,1040.00,1040.20,1056137
14,SRTRANSFIN,2019-08-20,2019,1020.65,1052.15,1045.60,1029.15,925265
15,SRTRANSFIN,2019-08-21,2019,1003.25,1037.45,1030.00,1011.85,668448
16,SRTRANSFIN,2019-08-22,2019,981.35,1009.20,1009.20,986.55,759339
17,SRTRANSFIN,2019-08-23,2019,955.70,1015.00,982.40,1010.35,1966224
18,SRTRANSFIN,2019-08-26,2019,1013.00,1064.40,1035.05,1019.65,2144248
19,SRTRANSFIN,2019-08-27,2019,1008.50,1033.50,1030.00,1019.60,1409979
20,SRTRANSFIN,2019-08-28,2019,980.10,1032.50,1028.40,991.65,1093311
21,SRTRANSFIN,2019-08-29,2019,960.00,987.35,980.00,967.15,1126422
22,SRTRANSFIN,2019-08-30,2019,942.50,981.00,973.00,966.15,1851772
23,SRTRANSFIN,2019-09-03,2019,935.80,975.80,950.00,962.85,1391404
24,SRTRANSFIN,2019-09-04,2019,946.00,987.35,962.00,984.55,1235350
